"","lat","lon","lugar"
"94",NA,NA,"CARPA CIRCO DE LOS HORRORES QUERETARO"
"95",NA,NA,"CARPA DIEGO RIVERA"
"96",-99.2501577,19.3769369,"CARPA SANTA FE"
"97",NA,NA,"CARPA SHAZAM"
"98",-99.2337352,19.5154644,"CASA AVILA SATELITE"
"99",-110.9557288,29.066768,"CASA DE LA CULTURA"
"100",-100.4106354,20.5467827,"CASA DEL MINARETE"
"101",-100.3078978,25.6664636,"CASA MORELOS"
"102",-117.9202132,33.6518636,"CASA VICTORIA"
"103",-95.7650514,36.1653556,"CASINO CAMPO MARTE"
"104",-100.300133,25.784155,"CASINO ESPAÑOL"
"105",-99.1386938,19.4357116,"CASINO METROPOLITANO"
"106",-99.181935,19.4204397,"CASTILLO DE CHAPULTEPEC"
"107",-99.1330824,19.4343942,"CATEDRAL METROPOLITANA"
"108",-87.5277246,20.1875002,"CENOTE ZAMNA DOS OSOS"
"109",-103.4450357,20.6656911,"CENTRO ACUATICO SCOTIABANK"
"110",-99.222287,19.4416414,"CENTRO CITIBANAMEX"
"111",-103.4121488,20.7102782,"CENTRO COMERCIAL ANDARES"
"112",-100.3303185,25.6645758,"CENTRO CONVEX MONTERREY"
"113",-99.1978241,19.3357669,"CENTRO CULINARIO AMBROSIA"
"114",-99.1504895,19.4226791,"CENTRO CULTURAL ESTACION INDIANILLA"
"115",-99.189635,19.352906,"CENTRO CULTURAL HELENICO"
"116",-99.1047196,19.2502292,"CENTRO CULTURAL JARDIN HACIENDA LOS ANGELES"
"117",-99.2879534,19.5460808,"CENTRO CULTURAL LUIS NISHIZAWA"
"118",-99.1342872,19.4389839,"CENTRO CULTURAL MEXICO CONTEMPORANEO CCMC"
"119",-98.8980735,19.4523995,"CENTRO CULTURAL MEXIQUENSE BICENTENARIO"
"120",-99.1663767,19.3620173,"CENTRO CULTURAL ROBERTO CANTORAL"
"121",-99.1903811,19.3454184,"CENTRO CULTURAL SAN ANGEL"
"122",-100.3154942,25.6737306,"CENTRO CULTURAL TELMEX I"
"123",-99.1550767,19.4253575,"CENTRO CULTURAL TELMEX II"
"124",-101.0267302,22.1508417,"CENTRO CULTURAL UNIVERSITARIO BICENTENARIO"
"125",-98.3355905,26.0663715,"CENTRO CULTURAL Y DEPORTIVO"
"126",NA,NA,"CENTRO CULTURAL Y RECREATIVO EL CEDAZO"
"127",-100.3497116,20.5785757,"CENTRO DE CONGRESOS"
"128",-103.454912,20.7350077,"CENTRO DE CONGRESOS TEC DE MONTERREY CAMPUS GUADALAJARA"
"129",-99.8531014,16.8534278,"CENTRO DE CONVENCIONES ACAPULCO"
"130",-102.323463,21.8615286,"CENTRO DE CONVENCIONES ISLA SAN MARCOS"
"131",-100.316725,25.6660527,"CENTRO DE CONVENCIONES PABELLON M"
"132",-98.191289,19.0442404,"CENTRO DE CONVENCIONES PUEBLA"
"133",-99.2046163,19.5371663,"CENTRO DE CONVENCIONES TLALNEPANTLA"
"134",-99.1397365,19.4553577,"CENTRO DE CONVENCIONES TLATELOLCO"
"135",-93.0811015,16.7518117,"CENTRO DE CONVENCIONES Y POLYFORUM TUXTLA"
"136",NA,NA,"CENTRO DE ESPECTACULOS EL DESVAN"
"137",-99.2038666,19.4413749,"CENTRO DE EXPOSICIONES PLAZA CARSO"
"138",-106.0743439,28.6540991,"CENTRO DE EXPOSICIONES Y CONVENCIONES CHIHUAHUA"
"139",-99.1792793,19.4265569,"CENTRO DEPORTIVO CHAPULTEPEC"
"140",-99.5568439,19.3654834,"CENTRO DINAMICO PEGASO TOLUCA"
"141",NA,NA,"CENTRO ECOTURISTICO BETHEL"
"142",-115.485549,32.651277,"CENTRO ESTATAL DE LAS ARTES"
"143",-98.1809229,19.0563954,"CENTRO EXPOSITOR Y DE CONVENCIONES PUEBLA"
"144",-99.1526674,19.4098794,"CENTRO MEDICO SIGLO XXI"
"145",-99.1541272,19.4083176,"CENTRO MEDICO SIGLO XXI AUDITORIO 1 UNIDAD DE CONGRESOS"
"146",-99.1541272,19.4083176,"CENTRO MEDICO SIGLO XXI AUDITORIO 5 UNIDAD DE CONGRESOS"
"147",NA,NA,"CENTRO PEGASO DE TENIS"
"148",-87.1047025,20.6729153,"CHANOLANDIA PLAYA DEL CARMEN"
"149",-103.3586628,20.6749866,"CINE FORO UNIVERSIDAD"
"150",-100.325846,25.6675454,"CINEMA RIO 70"
"151",-100.9730555,22.1504524,"CINETECA ALAMEDA"
"152",-99.1647486,19.3605546,"CINETECA NACIONAL"
"153",-100.2879763,25.6781236,"CINTERMEX"
"154",-110.9943706,29.0854764,"CIRCO DE LAS PESADILLAS"
"155",-116.6162229,31.853964,"CIRCO DE LAS PESADILLAS ENSENADA"
"156",-110.9943706,29.0854764,"CIRCO DE LAS PESADILLAS MEXICALI"
"157",-110.9943706,29.0854764,"CIRCO DE LAS PESADILLAS SALTILLO"
"158",-110.9943706,29.0854764,"CIRCO DE LAS PESADILLAS TIJUANA"
"159",-99.1257649,19.4061119,"CIRCO VOLADOR"
"160",-103.283696,20.6351885,"CIRCUITO ELITE SP 5K ELITE SP GYM AND POOL"
"161",NA,NA,"CIRCUITO VIVE TU CIUDAD"
"162",-86.9663881,20.768422,"CIRQUE DU SOLEIL RIVIERA MAYA"
"163",-115.4470637,32.655105,"CIUDAD DEPORTIVA"
"164",-99.189635,19.352906,"CLAUSTRO DEL INSTITUTO CULTURAL HELENICO"
"165",-99.1361413,19.4264926,"CLAUSTRO DE SOR JUANA"
"166",-99.1392431,19.2786311,"CLUB ALEMAN DE MEXICO"
"167",-13.6511452,28.9232299,"CLUB ATLANTICO"
"168",-103.4025069,20.7143976,"CLUB ATLAS COLOMOS"
"169",-99.143407,19.346586,"CLUB CAMPESTRE CIUDAD DE MEXICO"
"170",-99.1276964,19.208589,"CLUB CAMPESTRE MONTE SUR"
"171",-99.2386439,19.4342719,"CLUB DE GOLF CHAPULTEPEC"
"172",-99.1594693,19.279304,"CLUB DE GOLF MEXICO"
"173",-103.4234337,20.5794407,"CLUB HIPICO LOS ALAMITOS"
"174",-100.3672645,20.5921003,"CLUB LATINO QUERETARO"
"175",-100.3632061,25.6370136,"CLUB MEXICO PALESTINO LIBANES"
"176",-122.5010565,38.3136734,"CLUB SONOMA"
"177",-64.4405782,18.4438377,"COCO MAYA"
"178",-99.1308634,19.436341,"COLEGIO DE SAN ILDELFONSO"
"179",-99.2535406,19.4286559,"COLEGIO MIRAFLORES"
"180",-103.4029581,25.5891348,"COLISEO CENTENARIO"
"181",-103.3918941,20.6998311,"COMPLEJO DE PELOTA VASCA"
"182",-97.50083,25.88633,"CONCHA ACUSTICA"
"183",-99.206661,19.432211,"CONSERVATORIO NACIONAL DE MUSICA"
"184",-103.209085,20.621056,"CORTIJO LOS FERNANDEZ"
"185",-109.8939734,22.9133645,"DELMAR INTERNATIONAL SCHOOL"
"186",-117.0462712,32.5399825,"DEPORTIVO BENITO JUAREZ"
"187",-99.2229205,19.3953443,"DEPORTIVO LOMAS ALTAS"
"188",-99.2855667,19.3639264,"DEPORTIVO MORELOS CUAJIMALPA"
"189",-99.0793858,19.4511362,"DEPORTIVO OCEANIA"
"190",-98.9894128,19.6926917,"DEPORTIVO SIERRA HERMOSA"
"191",-118.3241134,34.047775,"DER BUNKER CLUB"
"192",-103.391245,20.654145,"DESFILIA EXPO GUADALAJARA"
"193",-101.6561399,21.1155523,"DOMO DE LA FERIA LEON"
"194",NA,NA,"DOM SATELITE"
"195",-83.3715398,32.6150745,"DOPPLER"
"196",-74.069181,41.154624,"D VAR"
"197",-99.1987511,19.335885,"EL CUEVON ESCENARIA"
"198",-99.1257706,19.3026438,"EL CUEVON PERICOAPA"
"199",-100.9519234,22.1081968,"EL DOMO CENTRO DE ESPECTACULOS SAN LUIS POTOSI"
"200",-117.035617,32.528661,"EL FORO ANTIGUO PALACIO JAI ALAI"
"201",-95.4417784,30.0182601,"EL IMPERIAL"
"202",-99.1719522,19.4132032,"EL PLAZA CONDESA"
"203",-87.0322836,20.6919135,"EL PUEBLITO MAYAKOBA"
"204",-87.0120621,20.8604961,"EL REY POLO COUNTRY CLUB"
"205",-99.0451882,19.4930485,"EL TELON ECATEPEC"
"206",-99.2082102,19.6600539,"EL TELON IZCALLI"
"207",NA,NA,"EL TRASNOCHE"
"208",-99.1009417,19.2599676,"EMBARCADERO BELEM"
"209",-99.1021717,19.2868859,"EMBARCADERO DE CUEMANCO"
"210",-99.1081683,19.2647409,"EMBARCADERO FERNANDO CELADA"
"211",-99.0942601,19.2504351,"EMBARCADERO LAS FLORES NATIVITAS"
"212",-99.093284,19.2526245,"EMBARCADERO NUEVO NATIVITAS"
"213",-99.1325961,19.2955707,"ESCANDALO LATINO ACOXPA"
"214",-116.496335,33.838673,"ESCENA"
"215",-100.3805396,25.6667737,"ESCUELA DE ARTES MUSICALES"
"216",NA,NA,"ESPECTRO ELECTROMAGNETICO"
"217",NA,NA,"ESPEJILLOS CLUB"
"218",-73.7030967,41.0690937,"ESTACIONAMIENTO"
"219",-99.1962931,19.6713977,"ESTACIONAMIENTO DEL CHANGO IZCALLI"
"220",-103.4161398,20.6935202,"ESTADIO 3 DE MARZO GUADALAJARA"
"221",-99.1921449,18.655145,"ESTADIO AGUSTIN CORUCO DIAZ"
"222",-86.838174,21.15071,"ESTADIO ANDRES QUINTANA ROO"
"223",-99.1505277,19.3028607,"ESTADIO AZTECA"
"224",-99.1782654,19.3834469,"ESTADIO AZUL"
"225",-100.1807681,25.6549654,"ESTADIO BBVA BANCOMER"
"226",-86.836738,21.152452,"ESTADIO BEISBOL BETO AVILA"
"227",-106.4579292,31.735002,"ESTADIO BEISBOL CANALES LIRA"
"228",-103.3815086,20.7274784,"ESTADIO BEISBOL CHARROS"
"229",-98.1649268,19.074998,"ESTADIO BEISBOL HERMANOS SERDAN"
"230",-89.5959829,20.9413276,"ESTADIO BEISBOL KUKULKAN"
"231",-100.3154111,25.7181121,"ESTADIO BEISBOL MONTERREY"
"232",-116.9934082,32.5068213,"ESTADIO CALIENTE"
"233",NA,NA,"ESTADIO CARILLON"
"234",-103.4626455,20.6817764,"ESTADIO CHIVAS"
"235",-99.2299251,19.6415349,"ESTADIO CIRCUITO ESCOLAR DEL LAGO CUAUTITLAN"
"236",-100.3662746,20.5776763,"ESTADIO CORREGIDORA"
"237",-96.9288591,19.5240482,"ESTADIO CRISTOBAL COLON XALAPA"
"238",-116.916987,32.4830002,"ESTADIO DE LA UNIVERSIDAD ANAHUAC"
"239",-99.8144,16.789367,"ESTADIO FAIRMONT ACAPULCO"
"240",-100.9791106,25.4337023,"ESTADIO FRANCISCO I MADERO"
"241",-102.5494176,22.7663718,"ESTADIO FRANCISCO VILLA"
"242",-99.1088462,19.4103408,"ESTADIO FRAY NANO"
"243",-98.7563288,20.105186,"ESTADIO HIDALGO"
"244",-99.2251253,19.6480843,"ESTADIO HUGO SANCHEZ"
"245",-103.3281769,20.7049947,"ESTADIO JALISCO"
"246",-99.095006,19.407648,"ESTADIO JESUS MARTINEZ PALILLO"
"247",-99.2645967,19.5071492,"ESTADIO JOSE ORTEGA MARTINEZ"
"248",-96.1250211,19.1642559,"ESTADIO LUIS PIRATA FUENTE"
"249",-99.6666804,19.2873199,"ESTADIO NEMESIO DIEZ"
"250",-99.1921777,19.3319125,"ESTADIO OLIMPICO UNIVERSITARIO"
"251",-103.4626455,20.6817764,"ESTADIO OMNILIFE"
"252",NA,NA,"ESTADIO PROSPERO CAHUANTZI TLAXCALA"
"253",-101.355436,20.684406,"ESTADIO SERGIO LEON CHAVEZ"
"254",-111.0509106,29.0629813,"ESTADIO SONORA"
"255",-103.3470942,20.6631492,"ESTADIO SUTAJ TLAQUEPAQUE"
"256",-100.2864139,25.6522744,"ESTADIO TECNOLOGICO DE MONTERREY"
"257",-103.3815086,20.7274784,"ESTADIO TELMEX DE ATLETISMO"
"258",-100.3120225,25.7225198,"ESTADIO UNIVERSITARIO"
"259",-99.6762522,19.2849387,"ESTADIO UNIVERSITARIO ALBERTO CHIVO CORDOBA"
"260",-100.3120225,25.7225198,"ESTADIO UNIVERSITARIO DE MONTERREY"
"261",-102.2755158,21.8806453,"ESTADIO VICTORIA DE AGUASCALIENTES"
"262",-99.1385581,19.5018761,"ESTADIO WILFRIDO MASSIEU"
"263",-99.165656,19.411819,"EVE CONDESA"
"264",-82.2886027,34.8176949,"EVENTO ONLINE"
"265",-99.1339408,19.4911323,"EXA LIVE"
"266",-99.0690332,19.4119111,"EX BALNEARIO OLIMPICO"
"267",-99.1275646,19.4295393,"EX CONVENTO DE LA MERCED"
"268",NA,NA,"EX HACIENDA SAN ANTONIO BATA"
"269",-101.2742299,21.0088374,"EX HACIENDA SAN GABRIEL BARRERA"
"270",-99.239279,19.5503928,"EXPLANADA ADOLFO LOPEZ MATEOS"
"271",-101.2578347,21.0187971,"EXPLANADA DE LA ALHONDIGA DE GRANADITAS"
"272",-99.1505277,19.3028607,"EXPLANADA DEL ESTADIO AZTECA"
"273",-98.246752,19.325399,"EXPLANADA DEL RECINTO FERIAL DE TLAXCALA"
"274",NA,NA,"EXPLANADA PUERTA 9 CD DEPORTIVA MAGDALENA MIXHIUCA"
"275",-99.2117024,19.4200439,"EXPLANADA SANTA FE"
"276",-99.26267,19.363678,"EXPO BANCOMER"
"277",-110.9605916,29.0467395,"EXPOFORUM"
"278",NA,NA,"EXPO FORUM TOLUCA"
"279",-103.391764,20.6529143,"EXPO GUADALAJARA"
"280",-99.772215,16.768768,"EXPO IMPERIAL"
"281",-99.1517123,19.4329935,"EXPO REFORMA"
"282",-99.26267,19.363678,"EXPO SANTA FE"
"283",-99.1306442,19.4339833,"EX TERESA ARTE ACTUAL"
"284",-99.2038157,19.43926,"FAT CROW"
"285",-104.6095218,23.9911784,"FERIA NACIONAL DE DURANGO"
"286",-99.0539221,19.4497091,"FIELD 8 CUIDAD DEPORTIVA"
"287",-99.044681,19.49678,"FIESTA LATINA CENTRO DE ESPECTACULOS"
"288",-103.4599304,20.7137446,"FLORIDA EVENTOS"
"289",-99.1852221,19.3548784,"FORO 18 69"
"290",-103.3762546,20.7322038,"FORO ALTERNO"
"291",-103.3811124,20.73534,"FORO ALTERNO DEL CENTRO CULTURAL UNIVERSITARIO"
"292",-99.1434773,19.3564075,"FORO ANTONIO LOPEZ MANCERA"
"293",-99.137111,19.4372164,"FORO A POCO NO"
"294",-99.2229135,19.4352175,"FORO CORONA"
"295",NA,NA,"FORO COYOACANENSE"
"296",-99.179039,19.4257267,"FORO CULTURAL CHAPULTEPEC"
"297",-99.1500225,19.4383286,"FORO CULTURAL HILVANA"
"298",-103.3479625,20.6998941,"FORO DE ARTE Y CULTURA"
"299",-103.3918475,20.6543265,"FORO DE LA EXPO GUADALAJARA"
"300",-110.9586716,29.0812572,"FORO DE LAS ARTES"
"301",-99.2388948,18.9214694,"FORO DEL LAGO DEL CENTRO CULTURAL JARDIN BORDA"
"302",NA,NA,"FORO DRAGON FIRE"
"303",-99.139879,19.356579,"FORO EXPERIMENTAL BLACK BOX DEL CENART"
"304",-103.3478926,20.666407,"FORO INDEPENDENCIA"
"305",-99.1561722,19.4166513,"FORO INDIE ROCKS"
"306",-99.163743,19.422089,"FORO INSURGENTES"
"307",NA,NA,"FORO LA CAJA"
"308",-99.189635,19.352906,"FORO LA GRUTA CENTRO CULTURAL HELENICO"
"309",-99.1567287,19.4299776,"FORO LUCERNA"
"310",-99.1977953,19.432346,"FORO MASARYK"
"311",-99.2394161,19.4875098,"FORO NORTE"
"312",NA,NA,"FORO ODEON CENTRO CULTURAL ROYAL"
"313",-99.201285,19.436768,"FORO POLANCO"
"314",-99.1526529,19.4344014,"FORO REFORMA"
"315",-99.1502779,19.3512931,"FORO RODOLFO USIGLI"
"316",-99.176641,19.4194399,"FORO SHAKESPEARE"
"317",NA,NA,"FORO SIDRAL AGA"
"318",-99.0956283,19.4051591,"FORO SOL"
"319",-99.1767991,19.4156823,"FORO SYLVIA PASQUEL"
"320",-99.1633782,19.3567415,"FORO VIENA"
"321",-80.135139,26.225152,"FORUM BEACH"
"322",-99.772287,16.770949,"FORUM MUNDO IMPERIAL"
"323",-99.2159254,19.4554193,"FOTO MUSEO CUATRO CAMINOS"
"324",-100.3553044,25.6832298,"FOUR POINTS BY SHERATON GALERIAS MONTERREY"
"325",-99.19363,19.430326,"FUNDACION MIGUEL ANGEL CORNEJO"
"326",-100.3045843,25.7882607,"GENERAL SHOW CENTER"
"327",-99.1547827,19.3599655,"GIMNASIO JUAN DE LA BARRERA"
"328",-98.1621641,19.0754537,"GIMNASIO MIGUEL HIDALGO"
"329",-100.3518944,25.7042538,"GIMNASIO NUEVO LEON"
"330",-99.1429686,19.3435297,"GRAN FORUM"
"331",-99.225201,19.4358987,"GRANJA LAS AMERICAS"
"332",-99.1439385,19.4194091,"GRAN SALON CENTRAL"
"333",-99.2078136,19.5368159,"GRAN SALON VICTORIA"
"334",-99.2013028,19.4369741,"GRAN TEATRO MOLIERE"
"335",-89.6545464,21.0050717,"HACIENDA CHENKU"
"336",-89.716357,20.943344,"HACIENDA SAN DIEGO TIXCACAL"
"337",-105.4121769,20.8952169,"HACIENDA SAN PANCHO"
"338",-86.770498,21.0894911,"HARD ROCK HOTEL CANCUN"
"339",-87.21539,20.506925,"HARD ROCK HOTEL RIVIERA MAYA"
"340",-105.2970837,20.6972142,"HARD ROCK HOTEL VALLARTA"
"341",-99.2215257,19.4363916,"HIPODROMO DE LAS AMERICAS"
"342",-99.2776224,19.3615813,"HOOKAH SANTA FE"
"343",-99.2222393,19.7132933,"HOSTERIA DEL CONVENTO DE TEPOZOTLAN"
"344",-99.0766788,18.9847758,"HOTEL BUENA VIBRA"
"345",-122.1200856,37.4073114,"HOTEL CAMINO REAL"
"346",NA,NA,"HOTEL CAMINO REAL SALON VIRREYES"
"347",-103.3837752,20.7139111,"HOTEL COUNTRY PLAZA"
"348",-99.1568219,19.4325018,"HOTEL DE LEYENDAS VICTORIA"
"349",-118.2606497,34.0497751,"HOTEL DOWNTOWN"
"350",-100.3893086,20.615497,"HOTEL FIESTA AMERICANA QUERETARO"
"351",-100.9220089,22.1267507,"HOTEL FIESTA INN GLORIETA JUAREZ"
"352",-99.164169,19.425143,"HOTEL GENEVE"
"353",-86.7450309,21.1358348,"HOTEL GRAND FIESTA AMERICANA CORAL BEACH CANCUN"
"354",-103.389741,20.6539208,"HOTEL HILTON GUADALAJARA"
"355",-99.1463663,19.4350018,"HOTEL HILTON MEXICO REFORMA"
"356",-103.345988,20.674963,"HOTEL HOLIDAY INN GUADALAJARA"
"357",-100.2888295,25.6761681,"HOTEL HOLIDAY INN PARQUE FUNDIDORA"
"358",-99.2529023,19.3863262,"HOTEL LIVE AQUA URBAN RESORT MEXICO"
"359",-99.1736456,19.4249008,"HOTEL MARQUIS REFORMA"
"360",-116.9992365,32.5116752,"HOTEL MARRIOT TIJUANA"
"361",-103.3499974,20.6634989,"HOTEL MISION CARLTON"
"362",-100.3110021,25.6668531,"HOTEL MONTERREY MACROPLAZA"
"363",-86.8402626,20.9874037,"HOTEL MOON PALACE CANCUN"
"364",-70.760005,43.073994,"HOTEL NH"
"365",-103.4038225,20.650384,"HOTEL PRESIDENTE INTERCONTINENTAL GUADALAJARA"
"366",-98.2210077,19.0603489,"HOTEL PRESIDENTE INTERCONTINENTAL PUEBLA"
"367",-99.8144,16.789367,"HOTEL PRINCESS MUNDO IMPERIAL"
"368",-115.4861244,32.6638232,"HOTEL REFORMA"
"369",-105.315008,20.7340663,"HOTEL SAMBA VALLARTA"
"370",-83.074568,42.370086,"HOTEL ST REGIS"
"371",-122.5033364,47.2334759,"HOTEL ST REGIS SALON DIAMOND"
"372",-99.195374,19.42728,"HOTEL W CIUDAD DE MEXICO"
"373",-87.62913,41.888233,"HOUSE OF BLUES"
"374",-99.1715022,19.2807134,"ICEDOME"
"375",-99.5504639,27.4718948,"IGLESIA DE SANTO DOMINGO"
"376",-99.2215257,19.4363916,"INFIELD DEL HIPODROMO DE LAS AMERICAS"
"377",-103.3373288,20.6769024,"INSTITUTO CULTURAL CABAÑAS"
"378",-103.4155404,20.6072093,"INSTITUTO TECNOLOGICO Y DE ESTUDIOS SUPERIORES DE OCCIDENTE"
"379",-112.0774451,27.2153431,"ISLA SAN MARCOS"
"380",-99.1845784,19.4208475,"ISLETA MENOR BOSQUE DE CHAPULTEPEC"
"381",-99.135174,19.2834308,"ITESM CAMPUS CIUDAD DE MEXICO"
"382",-99.2291297,19.5931932,"ITESM CAMPUS ESTADO DE MEXICO"
"383",-103.454912,20.7350077,"ITESM CAMPUS GUADALAJARA"
"384",-98.853848,19.695174,"JARDIN DE LAS CACTACEAS"
"385",-99.2909161,18.6084421,"JARDINES DE MEXICO"
"386",-100.3715708,25.6721337,"JARDIN TREBOL"
"387",-99.1999108,19.4431923,"JOSE CUERVO SALON"
"388",-121.4750371,38.4083082,"JOY CITY"
"389",-80.0421842,26.7172193,"JOY ROOM"
"390",-99.1884997,19.3468947,"LA BIPO SAN ANGEL"
"391",-99.1462558,19.4364319,"LABORATORIO ARTE ALAMEDA"
"392",-71.5251241,-16.4044171,"LABORATORIO TOM"
"393",-100.3850391,25.6517464,"LA CAÑADA CAMPESTRE DE MONTAÑA"
"394",-98.6064602,29.6041243,"LA CANTERA"
"395",-99.1773164,19.3780228,"LA CASA DE LOS COMEDIANTES"
